gene_name,cell_type,region1,region2,ttest_p,wilcoxon_p,ks_p
4930402H24Rik,Astrocytes,0,2,0.9649079029685825,0.4200293864499757,0.7291385511495986
4930402H24Rik,Astrocytes,1,2,0.0001510314220565844,0.10831269270000028,0.10625383311221173
4930402H24Rik,Bergmann,0,1,0.10575930984535284,0.5559505312087072,0.8670417261259932
4930402H24Rik,Granule,0,1,0.0036391807403777362,0.11329926343446829,0.33480529099227335
4930402H24Rik,MLI1,1,3,0.07736606047162695,0.6545980234022382,0.9881390821868714
4930402H24Rik,Oligodendrocytes,0,2,0.22318913395655585,0.7542085628341946,0.976053699717115
4931406P16Rik,Oligodendrocytes,0,2,0.7939838210846532,0.9061757300413299,0.9999999999921582
4932438A13Rik,Astrocytes,0,1,0.9101090620750499,0.8234468402873346,0.9999999999999996
4932438A13Rik,Granule,0,1,0.11071838431152234,0.739476126551567,0.9876042437740279
4933406I18Rik,Granule,0,1,0.8436300951878759,0.9467400001996416,1.0
5031425E22Rik,Astrocytes,0,2,0.06688240510882162,0.5961074599879386,0.9953898474084758
5031425E22Rik,Granule,0,1,0.6311256327954433,0.9712253922535352,1.0
5031439G07Rik,Granule,0,1,0.8806552290782151,0.9431470431105866,1.0
5031439G07Rik,Oligodendrocytes,0,2,0.4179774610059299,0.2647927109049715,0.6665331915452746
5330434G04Rik,Granule,0,1,0.8502112111297789,0.8703542749635882,1.0
5730409E04Rik,Granule,0,1,0.36119027619671507,0.8108931955905821,0.999979765486682
5730455P16Rik,Granule,0,1,0.4041831426202578,0.8743132689229902,0.9999477030774155
5830428H23Rik,Astrocytes,0,2,0.10095459208538382,0.6999908839914564,0.997769368611882
5830428H23Rik,Granule,0,1,0.6765551933718823,0.7650161928660866,0.9999999999999414
6330403K07Rik,Astrocytes,0,1,0.7961185217125755,0.9374470134017425,0.9999999999623324
6330403K07Rik,Granule,0,1,0.10798915636691184,0.5236717102826534,0.9973939429968134
6330403K07Rik,Oligodendrocytes,0,2,0.7611904457526312,0.9786294758083869,0.999999998921159
6430548M08Rik,Astrocytes,0,1,0.8829455382824564,0.9896503392788009,1.0
