,xcoord,ycoord,concordex_pred
56,1783.69491525424,4695.18644067797,0
57,3561.40707964602,2425.04424778761,0
58,4228.09009009009,1357.37837837838,1
59,4279.51764705882,2746.58823529412,1
60,4870.34285714286,1437.17142857143,1
61,3357.9375,2471.2578125,2
62,2783.73626373626,1397.14285714286,1
63,1749.36170212766,4448.48936170213,0
64,4961.15841584158,2503.0297029703,0
65,1425.248,4188.712,0
66,4797.89247311828,1954.22580645161,0
67,3942.59230769231,3387.92307692308,1
68,4770.61875,2603.55625,0
69,4738.07142857143,2614.71428571429,0
70,3417.86324786325,2350.82051282051,0
71,2168.92,1793.26666666667,1
72,3748.984375,2247.53125,0
73,1298.70512820513,3325.25641025641,1
74,4094.09259259259,3289.75,0
75,4369.76576576577,3526.8018018018,3
76,4118.21666666667,2740.375,0
77,3166.44444444444,1378.94814814815,0
78,4712.58823529412,2070.47058823529,1
79,5078.60869565217,2690.6,3
80,2483.87610619469,3972.84955752212,2
81,1234.50649350649,3676.87012987013,0
82,2288.42276422764,3692.41463414634,0
83,1592.45454545455,2722.80909090909,0
84,5383.66386554622,2004.1512605042,0
85,2138.71074380165,2335.80165289256,3
86,3323.9587628866,2641.26804123711,2
87,4012.06451612903,1894.35483870968,1
88,2338.10687022901,2538.34351145038,1
89,3153.67948717949,2143.32692307692,0
90,3790.93684210526,2058.15789473684,3
91,5057.93442622951,1887.35245901639,1
92,2783.97701149425,1856.37931034483,0
93,2784.49193548387,2503.75806451613,1
94,3934.12592592593,2156.41481481481,0
95,4498.24626865672,3252.28358208955,1
96,2137.24285714286,3059.77142857143,0
97,4645.48148148148,2379.73333333333,0
98,4767.72180451128,2009.41353383459,1
99,2253.28318584071,4280.03539823009,2
100,1896.82222222222,2760.9,0
101,4375.09836065574,1420.27868852459,0
102,4525.1975308642,1366.66666666667,1
103,3919.65671641791,2183.67164179104,0
104,5212.98701298701,2138.64935064935,0
105,2032.57142857143,4277.58823529412,1
106,3027.17647058824,1730.99019607843,0
107,3625.35135135135,1820.34234234234,3
108,4498.37,3237.76,1
109,3258.36666666667,1285.94444444444,0
110,4935.06730769231,2495.28846153846,0
111,5260.38194444444,2550.44444444444,3
112,2482.32183908046,3255.83908045977,0
113,3993.93406593407,2018.94505494505,0
114,4399.74603174603,1741.50793650794,0
115,3900.52173913044,3332.55434782609,1
116,1743.19642857143,3674.91071428571,0
117,3080.54545454545,1601.34545454545,0
118,4605.22772277228,1490.42574257426,0
119,4674.72173913043,1605.0,0
120,4989.6724137931,1898.43965517241,1
121,2898.8,2510.94444444444,0
122,4119.15217391304,2100.58695652174,0
123,4896.21176470588,1355.77647058824,3
124,3772.22891566265,2014.3734939759,3
125,4533.94444444444,3324.71428571429,1
126,4061.65254237288,1356.3813559322,3
127,2803.45555555556,1927.94444444444,0
128,3850.12643678161,2907.16091954023,2
129,4004.0206185567,1753.54639175258,1
130,2281.77419354839,3053.22580645161,0
131,1533.10576923077,4522.00961538462,1
132,3812.17948717949,3295.22222222222,0
133,5169.36842105263,1717.38947368421,1
134,4572.13793103448,3036.53448275862,3
135,1670.28,3722.13,0
136,3894.30769230769,3379.23076923077,1
137,2576.40243902439,1843.75609756098,0
138,4942.0,2735.93203883495,1
139,4428.98529411765,2112.73529411765,0
